id,log_price,image_path,image_exists,green_cover_ratio,road_density_ratio,built_up_density_ratio,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5101405331.0,13.112315061750808,../data/images/5101405331.0.png,True,0.2510833740234375,0.1419830322265625,0.1331329345703125,495000,4,1.75,1600,6380,1.0,0,0,3,8,1130,470,1959,0,98125,47.701,-122.306,1090,6380
7305300695.0,13.34550852871726,../data/images/7305300695.0.png,True,0.2337188720703125,0.2497711181640625,0.303619384765625,625000,4,2.5,2820,8408,2.0,0,0,3,9,2820,0,2014,0,98155,47.7538,-122.325,1300,8408
8564860280.0,13.038962203056483,../data/images/8564860280.0.png,True,0.247528076171875,0.4049835205078125,0.3948516845703125,459990,3,2.5,2680,5539,2.0,0,0,3,8,2680,0,2013,0,98045,47.4761,-121.734,2990,6037
2391600950.0,12.99441863605669,../data/images/2391600950.0.png,True,0.1883392333984375,0.1052398681640625,0.115478515625,439950,3,2.5,1770,2875,2.0,0,0,3,8,1770,0,1990,0,98116,47.5631,-122.397,1770,3833
1999700045.0,12.653961664405363,../data/images/1999700045.0.png,True,0.1547088623046875,0.3227691650390625,0.390869140625,313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940
2423600100.0,13.105219253155283,../data/images/2423600100.0.png,True,0.069122314453125,0.44940185546875,0.781494140625,491500,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,1968,0,98092,47.2703,-122.069,3000,125017
1088800850.0,13.325305854052749,../data/images/1088800850.0.png,True,0.39697265625,0.1881103515625,0.19293212890625,612500,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,1991,0,98011,47.7419,-122.205,2730,10872
1982201345.0,12.994532278619134,../data/images/1982201345.0.png,True,0.121124267578125,0.543365478515625,0.539093017578125,440000,2,1.0,800,4850,1.0,0,0,4,7,800,0,1944,0,98107,47.6639,-122.364,1150,4365
4408100095.0,12.639480363813412,../data/images/4408100095.0.png,True,0.0001373291015625,0.5167999267578125,0.5198211669921875,308500,2,1.0,850,6174,1.0,0,0,4,7,850,0,1950,0,98155,47.7352,-122.328,1100,6174
7525000080.0,13.285333904916367,../data/images/7525000080.0.png,True,0.1999969482421875,0.217926025390625,0.193267822265625,588500,3,1.75,2330,14892,1.0,0,0,3,8,1970,360,1980,0,98074,47.6267,-122.046,2570,14217
5072200040.0,12.90669432231532,../data/images/5072200040.0.png,True,0.088409423828125,0.3856658935546875,0.555389404296875,403000,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,1957,0,98166,47.4419,-122.34,1960,10518
5652600185.0,13.527829818844936,../data/images/5652600185.0.png,True,0.1730499267578125,0.1209869384765625,0.1057281494140625,750000,3,1.75,2240,10578,2.0,0,0,5,8,1550,690,1923,0,98115,47.6954,-122.292,1570,10578
